日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-05-06,002050,154.34,154.21,159.68,152.59,412589,900243152.0,4.52,-1.72,-2.7,1.71
2020-05-07,002050,154.68,155.56,157.52,152.18,243475,527239872.0,3.46,0.88,1.35,1.01
2020-05-08,002050,155.09,156.85,157.72,153.67,166590,364749600.0,2.6,0.83,1.29,0.69
2020-05-11,002050,156.78,158.47,160.09,155.7,200950,446410496.0,2.8,1.03,1.62,0.83
2020-05-12,002050,160.02,163.67,167.93,159.41,296777,683294528.0,5.38,3.28,5.2,1.23
2020-05-13,002050,163.47,161.31,167.05,159.35,196499,447269024.0,4.7,-1.44,-2.36,0.82
2020-05-14,002050,160.09,160.63,162.73,159.35,143070,324050928.0,2.1,-0.42,-0.68,0.59
2020-05-15,002050,161.44,163.61,165.3,160.63,220201,503804112.0,2.91,1.86,2.98,0.91
2020-05-18,002050,162.79,159.75,163.13,156.57,153755,345807248.0,4.01,-2.36,-3.86,0.64
2020-05-19,002050,161.44,160.77,162.46,158.26,123898,279026128.0,2.63,0.64,1.02,0.51
2020-05-20,002050,164.96,165.5,175.98,163.47,276219,658498688.0,7.78,2.94,4.73,1.15
2020-05-21,002050,169.49,162.05,169.89,161.37,162587,375485056.0,5.15,-2.08,-3.45,0.68
2020-05-22,002050,163.54,158.4,163.61,156.71,129100,287812320.0,4.26,-2.25,-3.65,0.54
2020-05-25,002050,155.7,155.63,156.71,150.63,214768,465538000.0,3.84,-1.75,-2.77,0.89
2020-05-26,002050,157.52,158.94,159.62,155.16,140893,312170528.0,2.87,2.13,3.31,0.58
2020-05-27,002050,159.08,158.94,167.8,158.54,199437,454974672.0,5.83,0.0,0.0,0.82
2020-05-28,002050,158.54,156.03,160.43,152.65,141208,307865424.0,4.89,-1.83,-2.91,0.58
2020-05-29,002050,157.18,159.08,162.52,154.55,144095,322568544.0,5.11,1.95,3.05,0.6
2020-06-01,002050,160.7,164.48,165.84,158.13,232061,531335200.0,4.85,3.39,5.4,0.96
